time,open,high,low,close,fast_stoch,slow_stoch,rsi,30_sent,thirty_trend,4h_sent,four_trend,candle_dir,dt_signal,sent_signal,simple_result,running_result,profit
2019-01-07 14:00:00,138.322,138.408,138.268,138.27200000000002,91.28510650312752,86.68113899001385,60.93954496866989,-0.01842482422746261,bullish,0.13410662710840726,bullish,short,short,short_trade,win,loss,0.07
2019-01-07 15:30:00,138.578,138.687,138.346,138.49200000000002,89.64987850673698,90.104441074569,64.82689116427129,0.0022488441799170533,bullish,0.13410662710840726,bullish,short,short,short_trade,win,win,0.17
2019-01-07 18:30:00,138.80200000000002,138.82399999999998,138.532,138.622,86.89849948258068,91.32517460964688,61.87125594029207,0.02249691103031265,bullish,0.1671501834870408,bullish,short,short,short_trade,running_short,sig_stop,-0.0589999999999975
2019-01-07 20:30:00,138.829,138.874,138.762,138.816,88.43709390685781,81.67679988083927,66.75871110326399,0.02173965288481749,bullish,0.1671501834870408,bullish,short,short,short_trade,running_short,loss,-0.07800000000000296
2019-01-07 23:00:00,138.92600000000002,138.966,138.878,138.887,90.24147402930795,91.8612076927033,67.1075377627447,0.019567982848840933,bullish,0.18344536158863245,bullish,short,short,short_trade,sig_stop,no_runner,-0.0010000000000047748
2019-01-08 01:00:00,138.94899999999998,138.976,138.678,138.743,69.95884773662569,78.18907692612173,55.41584424122043,0.005140615080947431,bullish,0.18344536158863245,bullish,short,short,short_trade,win,win,0.17
2019-01-08 12:00:00,138.888,138.93,138.722,138.81,27.874818049489328,19.23804961337389,48.276826505521186,-0.041435261582910034,bullish,0.22196747541560602,bullish,short,short,short_trade,win,win,0.17
2019-01-08 19:00:00,138.11,138.137,138.046,138.136,16.600871051982892,15.581142865724336,35.14211932174489,-0.09006017694520793,bearish,0.1993955186016164,bearish,long,long,long_trade,running_long,win,0.07
2019-01-08 22:00:00,138.266,138.355,138.222,138.34,57.62077880387782,47.66059605496207,46.37092800024615,-0.049958275235235834,bearish,0.1989658670986456,bearish,long,long,long_trade,sig_stop,no_runner,-0.009999999999990905
2019-01-09 01:00:00,138.47799999999998,138.606,138.44799999999998,138.595,83.20510679259323,86.3790500032271,57.23046542139811,-0.005630585387262854,bearish,0.1989658670986456,bearish,long,long,long_trade,sig_stop,no_runner,-0.019000000000005457
2019-01-09 03:00:00,138.708,138.774,138.673,138.704,81.6520136652688,86.38492889682993,61.31882808172979,0.01640333837480227,bullish,0.2004123099387508,bullish,short,short,short_trade,running_short,sig_stop,0.0
2019-01-09 05:30:00,138.732,138.732,138.654,138.704,75.14360615900881,75.80351796913429,59.996230638776865,0.02453137428487925,bullish,0.2004123099387508,bullish,short,short,short_trade,win,win,0.17
