time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,VWMA,VWAP,VWMA 20,VWMA 50,VWMA 200,SMA 20,SMA 50,SMA 200,S/R,SR,%K,%D,RSI
1532466000,146.166,146.402,146.114,146.345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.152,67.71121127503186,53.356320238953394,48.13479563839062
1532480400,146.345,146.466,146.222,146.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,73.34181828453247,63.838251512187064,46.19974218390289
1532494800,146.25,146.502,146.18,146.331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,81.08072935459109,74.04458630471747,48.11497664649908
1532509200,146.331,146.382,146.016,146.178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,76.91841750025846,77.11365504645966,44.8660038465297
1532523600,146.178,146.28,145.78,145.947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,66.28131021194508,74.7601523555972,40.42739581026152
1532538000,145.947,146.528,145.776,146.383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,67.2300331754243,70.14325362920827,50.40117954428561
1532552400,146.383,146.536,146.194,146.246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,68.6172445175581,67.37619596830815,47.698839860264336
1532566800,146.246,146.41,146.199,146.266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,78.04445816032664,71.29724528443535,48.136018769147675
1532581200,146.266,146.274,145.874,145.915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,63.277363184079285,69.97968862065368,41.56885631835808
1532595600,145.915,146.21,145.89,146.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,56.06231118954285,65.79471084464859,44.69414430941427
1532610000,146.05,146.118,145.806,145.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,36.35409208100385,51.89792215154099,41.58879168919527
1532624400,145.875,145.987,145.768,145.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,24.804418573540875,39.07360728136152,40.71829618653636
1532638800,145.825,145.828,145.572,145.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.862,146.328,9.155832327743491,23.438114327428405,37.181468498277475
1532653200,145.614,145.616,145.402,145.514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.713,146.328,7.218421560968636,13.726224154083333,35.60307932015712
1532667600,145.514,145.668,145.335,145.572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.713,146.328,11.322315017810574,9.232189635506566,37.2664912499831
1532682000,145.572,145.676,145.36,145.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.713,146.328,12.784270995021494,10.4416691912659,35.04765959029757
1532696400,145.44,145.72,145.344,145.354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.713,146.328,10.019428254232297,11.375338089020453,33.6422587787188
1532710800,145.354,145.586,145.275,145.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.713,146.328,9.17776467447218,10.660487974574322,37.942573659743836
1532898000,145.492,145.618,145.396,145.554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.713,146.328,13.63862566726123,10.9452728653209,39.82922460316569
1532912400,145.554,145.668,145.482,145.577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.713,146.328,21.0943695479771,14.636919963235835,40.55126458617639
1532926800,145.577,145.884,145.534,145.801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.713,146.328,30.806052115829328,21.84634911035489,47.19694639174242
1532941200,145.801,145.81,145.581,145.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.713,146.328,39.91410280463617,30.604841489479867,46.398966634730215
1532955600,145.769,145.929,145.71,145.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.713,146.328,49.22157317941967,39.98057603329406,46.16256790022315
